#SPECIES-NAME,  TRANSITION-TYPE,  N-LEVEL,  FREQUENCY-[MHZ]
CI  delta       326.000       745.85592
CI  delta       327.000       739.07914
CI  delta       328.000       732.37716
CI  delta       329.000       725.75895
CI  delta       330.000       719.22153
CI  delta       331.000       712.75890
CI  delta       332.000       706.37706
CI  delta       333.000       700.07300
CI  delta       334.000       693.83776
CI  delta       335.000       687.68032
CI  delta       336.000       681.59468
CI  delta       337.000       675.57785
CI  delta       338.000       669.63583
CI  delta       339.000       663.75962
CI  delta       340.000       657.95523
CI  delta       341.000       652.21665
CI  delta       342.000       646.54690
CI  delta       343.000       640.93997
CI  delta       344.000       635.39886
CI  delta       345.000       629.92059
CI  delta       346.000       624.50515
CI  delta       347.000       619.15254
CI  delta       348.000       613.85977
CI  delta       349.000       608.62684
CI  delta       350.000       603.45374
CI  delta       351.000       598.34049
CI  delta       352.000       593.28408
CI  delta       353.000       588.28751
CI  delta       354.000       583.34181
CI  delta       355.000       578.45295
CI  delta       356.000       573.61795
CI  delta       357.000       568.83680
CI  delta       358.000       564.11250
CI  delta       359.000       559.43607
CI  delta       360.000       554.81201
CI  delta       361.000       550.23880
CI  delta       362.000       545.71496
CI  delta       363.000       541.24348
CI  delta       364.000       536.81838
CI  delta       365.000       532.44264
CI  delta       366.000       528.11478
CI  delta       367.000       523.83179
CI  delta       368.000       519.59667
CI  delta       369.000       515.40494
CI  delta       370.000       511.25959
CI  delta       371.000       507.15761
CI  delta       372.000       503.10052
CI  delta       373.000       499.08681
CI  delta       374.000       495.11499
CI  delta       375.000       491.18655
CI  delta       376.000       487.29701
CI  delta       377.000       483.45084
CI  delta       378.000       479.64208
CI  delta       379.000       475.87521
CI  delta       380.000       472.14873
CI  delta       381.000       468.45965
CI  delta       382.000       464.80946
CI  delta       383.000       461.19817
CI  delta       384.000       457.62128
CI  delta       385.000       454.08329
CI  delta       386.000       450.58121
CI  delta       387.000       447.11503
CI  delta       388.000       443.68475
CI  delta       389.000       440.28888
CI  delta       390.000       436.92891
CI  delta       391.000       433.60036
CI  delta       392.000       430.30771
CI  delta       393.000       427.04797
CI  delta       394.000       423.81965
CI  delta       395.000       420.62574
CI  delta       396.000       417.46324
CI  delta       397.000       414.33066
CI  delta       398.000       411.23249
CI  delta       399.000       408.16274
CI  delta       400.000       405.12441
CI  delta       401.000       402.11600
CI  delta       402.000       399.13750
CI  delta       403.000       396.18743
CI  delta       404.000       393.26728
CI  delta       405.000       390.37556
CI  delta       406.000       387.51226
CI  delta       407.000       384.67738
CI  delta       408.000       381.86793
CI  delta       409.000       379.08840
CI  delta       410.000       376.33431
CI  delta       411.000       373.60714
CI  delta       412.000       370.90690
CI  delta       413.000       368.23209
CI  delta       414.000       365.58121
CI  delta       415.000       362.95876
CI  delta       416.000       360.36025
CI  delta       417.000       357.78567
CI  delta       418.000       355.23652
CI  delta       419.000       352.70981
CI  delta       420.000       350.20854
CI  delta       421.000       347.73120
CI  delta       422.000       345.27630
CI  delta       423.000       342.84533
CI  delta       424.000       340.43681
CI  delta       425.000       338.04923
CI  delta       426.000       335.68558
CI  delta       427.000       333.34288
CI  delta       428.000       331.02262
CI  delta       429.000       328.72479
CI  delta       430.000       326.44642
CI  delta       431.000       324.19048
CI  delta       432.000       321.95399
CI  delta       433.000       319.73845
CI  delta       434.000       317.54535
CI  delta       435.000       315.36870
CI  delta       436.000       313.21449
CI  delta       437.000       311.07823
CI  delta       438.000       308.96142
CI  delta       439.000       306.86556
CI  delta       440.000       304.78615
CI  delta       441.000       302.72768
CI  delta       442.000       300.68567
CI  delta       443.000       298.66311
CI  delta       444.000       296.65999
CI  delta       445.000       294.67333
CI  delta       446.000       292.70463
CI  delta       447.000       290.75237
CI  delta       448.000       288.81807
CI  delta       449.000       286.90023
CI  delta       450.000       285.00183
CI  delta       451.000       283.11840
CI  delta       452.000       281.25142
CI  delta       453.000       279.40089
CI  delta       454.000       277.56532
CI  delta       455.000       275.74921
CI  delta       456.000       273.94655
CI  delta       457.000       272.16035
CI  delta       458.000       270.38912
CI  delta       459.000       268.63134
CI  delta       460.000       266.89152
CI  delta       461.000       265.16666
CI  delta       462.000       263.45526
CI  delta       463.000       261.76031
CI  delta       464.000       260.07734
