#SPECIES-NAME,  TRANSITION-TYPE,  N-LEVEL,  FREQUENCY-[MHZ]
HI  alpha       518.000       47.176840
HI  alpha       519.000       46.903960
HI  alpha       520.000       46.634818
HI  alpha       521.000       46.366423
HI  alpha       522.000       46.101020
HI  alpha       523.000       45.837111
HI  alpha       524.000       45.576193
HI  alpha       525.000       45.316022
HI  alpha       526.000       45.058095
HI  alpha       527.000       44.802410
HI  alpha       528.000       44.548220
HI  alpha       529.000       44.297021
HI  alpha       530.000       44.046570
HI  alpha       531.000       43.798361
HI  alpha       532.000       43.552395
HI  alpha       533.000       43.307925
HI  alpha       534.000       43.064949
HI  alpha       535.000       42.824964
HI  alpha       536.000       42.584980
HI  alpha       537.000       42.347985
HI  alpha       538.000       42.112486
HI  alpha       539.000       41.879230
HI  alpha       540.000       41.646721
HI  alpha       541.000       41.416455
HI  alpha       542.000       41.188432
HI  alpha       543.000       40.960409
HI  alpha       544.000       40.736124
HI  alpha       545.000       40.511839
HI  alpha       546.000       40.290545
HI  alpha       547.000       40.069998
HI  alpha       548.000       39.850946
HI  alpha       549.000       39.633390
HI  alpha       550.000       39.418824
HI  alpha       551.000       39.203510
HI  alpha       552.000       38.991935
HI  alpha       553.000       38.781107
HI  alpha       554.000       38.571027
HI  alpha       555.000       38.363190
HI  alpha       556.000       38.157595
HI  alpha       557.000       37.952000
HI  alpha       558.000       37.747901
HI  alpha       559.000       37.546792
HI  alpha       560.000       37.345684
HI  alpha       561.000       37.146818
HI  alpha       562.000       36.948699
HI  alpha       563.000       36.752824
HI  alpha       564.000       36.557696
HI  alpha       565.000       36.364063
HI  alpha       566.000       36.171926
HI  alpha       567.000       35.980536
HI  alpha       568.000       35.791389
HI  alpha       569.000       35.602990
HI  alpha       570.000       35.416086
HI  alpha       571.000       35.230677
HI  alpha       572.000       35.046763
HI  alpha       573.000       34.862849
HI  alpha       574.000       34.681926
HI  alpha       575.000       34.501003
HI  alpha       576.000       34.322323
HI  alpha       577.000       34.143642
HI  alpha       578.000       33.967205
HI  alpha       579.000       33.791515
HI  alpha       580.000       33.617320
HI  alpha       581.000       33.443873
HI  alpha       582.000       33.272669
HI  alpha       583.000       33.101465
HI  alpha       584.000       32.931756
HI  alpha       585.000       32.762795
HI  alpha       586.000       32.596076
HI  alpha       587.000       32.430106
HI  alpha       588.000       32.264882
HI  alpha       589.000       32.101154
HI  alpha       590.000       31.938174
HI  alpha       591.000       31.775941
HI  alpha       592.000       31.615951
HI  alpha       593.000       31.456709
HI  alpha       594.000       31.297467
HI  alpha       595.000       31.140467
HI  alpha       596.000       30.984215
HI  alpha       597.000       30.828711
HI  alpha       598.000       30.673955
HI  alpha       599.000       30.521441
HI  alpha       600.000       30.368927
HI  alpha       601.000       30.217909
HI  alpha       602.000       30.067638
HI  alpha       603.000       29.918114
HI  alpha       604.000       29.770086
HI  alpha       605.000       29.622806
HI  alpha       606.000       29.477021
HI  alpha       607.000       29.331235
HI  alpha       608.000       29.186945
HI  alpha       609.000       29.043403
HI  alpha       610.000       28.900608
HI  alpha       611.000       28.759309
HI  alpha       612.000       28.618757
HI  alpha       613.000       28.478953
HI  alpha       614.000       28.340644
HI  alpha       615.000       28.202335
HI  alpha       616.000       28.065521
HI  alpha       617.000       27.928707
HI  alpha       618.000       27.794136
HI  alpha       619.000       27.659565
HI  alpha       620.000       27.525742
HI  alpha       621.000       27.393414
HI  alpha       622.000       27.261833
HI  alpha       623.000       27.130253
HI  alpha       624.000       27.000915
HI  alpha       625.000       26.870830
HI  alpha       626.000       26.742987
HI  alpha       627.000       26.615145
HI  alpha       628.000       26.488050
HI  alpha       629.000       26.362451
HI  alpha       630.000       26.236851
HI  alpha       631.000       26.112747
HI  alpha       632.000       25.988642
HI  alpha       633.000       25.866033
HI  alpha       634.000       25.744172
HI  alpha       635.000       25.622310
HI  alpha       636.000       25.501944
HI  alpha       637.000       25.382325
HI  alpha       638.000       25.263454
HI  alpha       639.000       25.144583
HI  alpha       640.000       25.027208
HI  alpha       641.000       24.909832
HI  alpha       642.000       24.794699
HI  alpha       643.000       24.678818
HI  alpha       644.000       24.563685
HI  alpha       645.000       24.450048
HI  alpha       646.000       24.337158
HI  alpha       647.000       24.224268
HI  alpha       648.000       24.112125
HI  alpha       649.000       24.000730
HI  alpha       650.000       23.890831
HI  alpha       651.000       23.780931
HI  alpha       652.000       23.671779
HI  alpha       653.000       23.562627
HI  alpha       654.000       23.455718
HI  alpha       655.000       23.348061
HI  alpha       656.000       23.241152
HI  alpha       657.000       23.135738
HI  alpha       658.000       23.030324
HI  alpha       659.000       22.925658
HI  alpha       660.000       22.822487
HI  alpha       661.000       22.718568
HI  alpha       662.000       22.615397
HI  alpha       663.000       22.513721
HI  alpha       664.000       22.412045
HI  alpha       665.000       22.311117
HI  alpha       666.000       22.211684
HI  alpha       667.000       22.110756
HI  alpha       668.000       22.012818
HI  alpha       669.000       21.913385
HI  alpha       670.000       21.816195
HI  alpha       671.000       21.718257
HI  alpha       672.000       21.621815
HI  alpha       673.000       21.526120
HI  alpha       674.000       21.429677
HI  alpha       675.000       21.334730
HI  alpha       676.000       21.240530
HI  alpha       677.000       21.147078
HI  alpha       678.000       21.052879
HI  alpha       679.000       20.960922
HI  alpha       680.000       20.868217
HI  alpha       681.000       20.776261
HI  alpha       682.000       20.685051
HI  alpha       683.000       20.594590
HI  alpha       684.000       20.504876
HI  alpha       685.000       20.414414
HI  alpha       686.000       20.326196
HI  alpha       687.000       20.237229
HI  alpha       688.000       20.149010
HI  alpha       689.000       20.061539
HI  alpha       690.000       19.974816
HI  alpha       691.000       19.888092
HI  alpha       692.000       19.802116
HI  alpha       693.000       19.716141
HI  alpha       694.000       19.631660
HI  alpha       695.000       19.547179
HI  alpha       696.000       19.462699
HI  alpha       697.000       19.378966
HI  alpha       698.000       19.295980
HI  alpha       699.000       19.213742
HI  alpha       700.000       19.131504
HI  alpha       701.000       19.049267
HI  alpha       702.000       18.968524
HI  alpha       703.000       18.887782
HI  alpha       704.000       18.807039
HI  alpha       705.000       18.727044
HI  alpha       706.000       18.648544
HI  alpha       707.000       18.568549
HI  alpha       708.000       18.490797
HI  alpha       709.000       18.412297
HI  alpha       710.000       18.335293
HI  alpha       711.000       18.257541
HI  alpha       712.000       18.180536
HI  alpha       713.000       18.105027
HI  alpha       714.000       18.028023
HI  alpha       715.000       17.953261
HI  alpha       716.000       17.878499
HI  alpha       717.000       17.802990
HI  alpha       718.000       17.728976
HI  alpha       719.000       17.655710
HI  alpha       720.000       17.581696
HI  alpha       721.000       17.509177
HI  alpha       722.000       17.436658
HI  alpha       723.000       17.364139
HI  alpha       724.000       17.291994
HI  alpha       725.000       17.220971
HI  alpha       726.000       17.149947
HI  alpha       727.000       17.079297
HI  alpha       728.000       17.009021
HI  alpha       729.000       16.939119
HI  alpha       730.000       16.869965
HI  alpha       731.000       16.800436
HI  alpha       732.000       16.732030
HI  alpha       733.000       16.663623
HI  alpha       734.000       16.595590
HI  alpha       735.000       16.527930
HI  alpha       736.000       16.461019
HI  alpha       737.000       16.393733
HI  alpha       738.000       16.327569
HI  alpha       739.000       16.261405
HI  alpha       740.000       16.195241
HI  alpha       741.000       16.130198
HI  alpha       742.000       16.064782
HI  alpha       743.000       16.000487
HI  alpha       744.000       15.935818
HI  alpha       745.000       15.871523
HI  alpha       746.000       15.808349
HI  alpha       747.000       15.744802
HI  alpha       748.000       15.681628
HI  alpha       749.000       15.618829
HI  alpha       750.000       15.556777
HI  alpha       751.000       15.494724
HI  alpha       752.000       15.433046
HI  alpha       753.000       15.371368
HI  alpha       754.000       15.310811
HI  alpha       755.000       15.249880
HI  alpha       756.000       15.189323
HI  alpha       757.000       15.129514
HI  alpha       758.000       15.069331
HI  alpha       759.000       15.010269
HI  alpha       760.000       14.951207
HI  alpha       761.000       14.892145
HI  alpha       762.000       14.833458
HI  alpha       763.000       14.775517
HI  alpha       764.000       14.717577
HI  alpha       765.000       14.660011
HI  alpha       766.000       14.602818
HI  alpha       767.000       14.545625
HI  alpha       768.000       14.489180
