#SPECIES-NAME,  TRANSITION-TYPE,  N-LEVEL,  FREQUENCY-[MHZ]
CI  alpha       312.000       215.59442
CI  alpha       313.000       213.53895
CI  alpha       314.000       211.50741
CI  alpha       315.000       209.50280
CI  alpha       316.000       207.52212
CI  alpha       317.000       205.56837
CI  alpha       318.000       203.63856
CI  alpha       319.000       201.73268
CI  alpha       320.000       199.84775
CI  alpha       321.000       197.99274
CI  alpha       322.000       196.15269
CI  alpha       323.000       194.34255
CI  alpha       324.000       192.54738
CI  alpha       325.000       190.78212
CI  alpha       326.000       189.03183
CI  alpha       327.000       187.30846
CI  alpha       328.000       185.60005
CI  alpha       329.000       183.91558
CI  alpha       330.000       182.25505
CI  alpha       331.000       180.60648
CI  alpha       332.000       178.98185
CI  alpha       333.000       177.37816
CI  alpha       334.000       175.79242
CI  alpha       335.000       174.22463
CI  alpha       336.000       172.67779
CI  alpha       337.000       171.14292
CI  alpha       338.000       169.63497
CI  alpha       339.000       168.13899
CI  alpha       340.000       166.66097
CI  alpha       341.000       165.20089
CI  alpha       342.000       163.75877
CI  alpha       343.000       162.33460
CI  alpha       344.000       160.92239
CI  alpha       345.000       159.53113
CI  alpha       346.000       158.15184
CI  alpha       347.000       156.79349
CI  alpha       348.000       155.44412
CI  alpha       349.000       154.11569
CI  alpha       350.000       152.79923
CI  alpha       351.000       151.50072
CI  alpha       352.000       150.21119
CI  alpha       353.000       148.94260
CI  alpha       354.000       147.68598
CI  alpha       355.000       146.44432
CI  alpha       356.000       145.21462
CI  alpha       357.000       143.99689
CI  alpha       358.000       142.79712
CI  alpha       359.000       141.60931
CI  alpha       360.000       140.43347
CI  alpha       361.000       139.27260
CI  alpha       362.000       138.12069
CI  alpha       363.000       136.98524
CI  alpha       364.000       135.86027
CI  alpha       365.000       134.74876
CI  alpha       366.000       133.64921
CI  alpha       367.000       132.56014
CI  alpha       368.000       131.48453
CI  alpha       369.000       130.42089
CI  alpha       370.000       129.36623
CI  alpha       371.000       128.32503
CI  alpha       372.000       127.29280
CI  alpha       373.000       126.27554
CI  alpha       374.000       125.26425
CI  alpha       375.000       124.26793
CI  alpha       376.000       123.27909
CI  alpha       377.000       122.30371
CI  alpha       378.000       121.33581
CI  alpha       379.000       120.37839
CI  alpha       380.000       119.43293
CI  alpha       381.000       118.49495
CI  alpha       382.000       117.56894
CI  alpha       383.000       116.65191
CI  alpha       384.000       115.74385
CI  alpha       385.000       114.84476
CI  alpha       386.000       113.95765
CI  alpha       387.000       113.07502
CI  alpha       388.000       112.20586
CI  alpha       389.000       111.34268
CI  alpha       390.000       110.49147
CI  alpha       391.000       109.64474
CI  alpha       392.000       108.80999
CI  alpha       393.000       107.98271
CI  alpha       394.000       107.16292
CI  alpha       395.000       106.35209
CI  alpha       396.000       105.55025
CI  alpha       397.000       104.75439
CI  alpha       398.000       103.96900
CI  alpha       399.000       103.18960
CI  alpha       400.000       102.41767
CI  alpha       401.000       101.65622
CI  alpha       402.000       100.89925
CI  alpha       403.000       100.15126
CI  alpha       404.000       99.409259
CI  alpha       405.000       98.677726
CI  alpha       406.000       97.949184
CI  alpha       407.000       97.231115
CI  alpha       408.000       96.517533
CI  alpha       409.000       95.814423
CI  alpha       410.000       95.114305
CI  alpha       411.000       94.421667
CI  alpha       412.000       93.738005
CI  alpha       413.000       93.060327
CI  alpha       414.000       92.387137
CI  alpha       415.000       91.721426
CI  alpha       416.000       91.063196
CI  alpha       417.000       90.409453
CI  alpha       418.000       89.764687
CI  alpha       419.000       89.122912
CI  alpha       420.000       88.488617
CI  alpha       421.000       87.860306
CI  alpha       422.000       87.237979
CI  alpha       423.000       86.621636
CI  alpha       424.000       86.011277
CI  alpha       425.000       85.405406
CI  alpha       426.000       84.807014
CI  alpha       427.000       84.213111
CI  alpha       428.000       83.623695
CI  alpha       429.000       83.041760
CI  alpha       430.000       82.464312
CI  alpha       431.000       81.892848
CI  alpha       432.000       81.325873
CI  alpha       433.000       80.763385
CI  alpha       434.000       80.208377
CI  alpha       435.000       79.656361
CI  alpha       436.000       79.110329
CI  alpha       437.000       78.570280
CI  alpha       438.000       78.031728
CI  alpha       439.000       77.502152
CI  alpha       440.000       76.974072
CI  alpha       441.000       76.453471
CI  alpha       442.000       75.935863
CI  alpha       443.000       75.422742
CI  alpha       444.000       74.915605
CI  alpha       445.000       74.411461
CI  alpha       446.000       73.913300
CI  alpha       447.000       73.419627
CI  alpha       448.000       72.928946
CI  alpha       449.000       72.442753
CI  alpha       450.000       71.961048
CI  alpha       451.000       71.485327
CI  alpha       452.000       71.011102
CI  alpha       453.000       70.544356
CI  alpha       454.000       70.077611
CI  alpha       455.000       69.618346
CI  alpha       456.000       69.160576
CI  alpha       457.000       68.708791
CI  alpha       458.000       68.261493
CI  alpha       459.000       67.815692
CI  alpha       460.000       67.374378
CI  alpha       461.000       66.937553
CI  alpha       462.000       66.503719
CI  alpha       463.000       66.075869
CI  alpha       464.000       65.649515
CI  alpha       465.000       65.226153
CI  alpha       466.000       64.808775
CI  alpha       467.000       64.392893
CI  alpha       468.000       63.981499
CI  alpha       469.000       63.574593
CI  alpha       470.000       63.169183
CI  alpha       471.000       62.768261
CI  alpha       472.000       62.371827
CI  alpha       473.000       61.975392
CI  alpha       474.000       61.586438
CI  alpha       475.000       61.197484
CI  alpha       476.000       60.813017
CI  alpha       477.000       60.431543
CI  alpha       478.000       60.053060
CI  alpha       479.000       59.679065
CI  alpha       480.000       59.308063
CI  alpha       481.000       58.937060
CI  alpha       482.000       58.573537
CI  alpha       483.000       58.210015
CI  alpha       484.000       57.849484
CI  alpha       485.000       57.493441
CI  alpha       486.000       57.140390
CI  alpha       487.000       56.787339
CI  alpha       488.000       56.441768
CI  alpha       489.000       56.094701
CI  alpha       490.000       55.753618
CI  alpha       491.000       55.414031
CI  alpha       492.000       55.075940
CI  alpha       493.000       54.742337
CI  alpha       494.000       54.411726
CI  alpha       495.000       54.081114
CI  alpha       496.000       53.756487
CI  alpha       497.000       53.433356
CI  alpha       498.000       53.111720
CI  alpha       499.000       52.793077
CI  alpha       500.000       52.477426
CI  alpha       501.000       52.164766
CI  alpha       502.000       51.853603
CI  alpha       503.000       51.543935
CI  alpha       504.000       51.240251
CI  alpha       505.000       50.935072
CI  alpha       506.000       50.634380
CI  alpha       507.000       50.336681
CI  alpha       508.000       50.038981
CI  alpha       509.000       49.745769
CI  alpha       510.000       49.454053
CI  alpha       511.000       49.163833
CI  alpha       512.000       48.876606
CI  alpha       513.000       48.592370
CI  alpha       514.000       48.308882
CI  alpha       515.000       48.029134
CI  alpha       516.000       47.750134
CI  alpha       517.000       47.473378
CI  alpha       518.000       47.200362
CI  alpha       519.000       46.927346
CI  alpha       520.000       46.658070
CI  alpha       521.000       46.389542
CI  alpha       522.000       46.124005
CI  alpha       523.000       45.859965
CI  alpha       524.000       45.598917
CI  alpha       525.000       45.338617
CI  alpha       526.000       45.080560
CI  alpha       527.000       44.824748
CI  alpha       528.000       44.570432
CI  alpha       529.000       44.319107
CI  alpha       530.000       44.068531
CI  alpha       531.000       43.820199
CI  alpha       532.000       43.574110
CI  alpha       533.000       43.329518
CI  alpha       534.000       43.086421
CI  alpha       535.000       42.846317
CI  alpha       536.000       42.606212
CI  alpha       537.000       42.369100
CI  alpha       538.000       42.133483
CI  alpha       539.000       41.900110
CI  alpha       540.000       41.667486
CI  alpha       541.000       41.437105
CI  alpha       542.000       41.208968
CI  alpha       543.000       40.980832
CI  alpha       544.000       40.756435
CI  alpha       545.000       40.532038
CI  alpha       546.000       40.310633
CI  alpha       547.000       40.089977
CI  alpha       548.000       39.870816
CI  alpha       549.000       39.653151
CI  alpha       550.000       39.438478
CI  alpha       551.000       39.223057
CI  alpha       552.000       39.011376
CI  alpha       553.000       38.800443
CI  alpha       554.000       38.590258
CI  alpha       555.000       38.382317
CI  alpha       556.000       38.176620
CI  alpha       557.000       37.970923
CI  alpha       558.000       37.766722
