#SPECIES-NAME,  TRANSITION-TYPE,  N-LEVEL,  FREQUENCY-[MHZ]
CI  gamma       467.000       191.94899
CI  gamma       468.000       190.72528
CI  gamma       469.000       189.51204
CI  gamma       470.000       188.30927
CI  gamma       471.000       187.11548
CI  gamma       472.000       185.93366
CI  gamma       473.000       184.75931
CI  gamma       474.000       183.59694
CI  gamma       475.000       182.44204
CI  gamma       476.000       181.29762
CI  gamma       477.000       180.16367
CI  gamma       478.000       179.04019
CI  gamma       479.000       177.92419
CI  gamma       480.000       176.81866
CI  gamma       481.000       175.72061
CI  gamma       482.000       174.63304
CI  gamma       483.000       173.55294
CI  gamma       484.000       172.48332
CI  gamma       485.000       171.42117
CI  gamma       486.000       170.36950
CI  gamma       487.000       169.32381
CI  gamma       488.000       168.29009
CI  gamma       489.000       167.26235
CI  gamma       490.000       166.24359
CI  gamma       491.000       165.23231
CI  gamma       492.000       164.23000
CI  gamma       493.000       163.23518
CI  gamma       494.000       162.24933
CI  gamma       495.000       161.27096
CI  gamma       496.000       160.30156
CI  gamma       497.000       159.33815
CI  gamma       498.000       158.38222
CI  gamma       499.000       157.43527
CI  gamma       500.000       156.49579
CI  gamma       501.000       155.56230
CI  gamma       502.000       154.63779
CI  gamma       503.000       153.71926
CI  gamma       504.000       152.80970
CI  gamma       505.000       151.90613
CI  gamma       506.000       151.01004
CI  gamma       507.000       150.12143
CI  gamma       508.000       149.23880
CI  gamma       509.000       148.36366
CI  gamma       510.000       147.49449
CI  gamma       511.000       146.63281
CI  gamma       512.000       145.77786
CI  gamma       513.000       144.93039
CI  gamma       514.000       144.08815
CI  gamma       515.000       143.25265
CI  gamma       516.000       142.42387
CI  gamma       517.000       141.60109
CI  gamma       518.000       140.78578
CI  gamma       519.000       139.97496
CI  gamma       520.000       139.17162
CI  gamma       521.000       138.37351
CI  gamma       522.000       137.58289
CI  gamma       523.000       136.79750
CI  gamma       524.000       136.01809
CI  gamma       525.000       135.24393
CI  gamma       526.000       134.47574
CI  gamma       527.000       133.71429
CI  gamma       528.000       132.95807
CI  gamma       529.000       132.20784
CI  gamma       530.000       131.46284
CI  gamma       531.000       130.72383
CI  gamma       532.000       129.99005
CI  gamma       533.000       129.26226
CI  gamma       534.000       128.53895
CI  gamma       535.000       127.82163
CI  gamma       536.000       127.10879
CI  gamma       537.000       126.40269
CI  gamma       538.000       125.70108
CI  gamma       539.000       125.00470
CI  gamma       540.000       124.31356
CI  gamma       541.000       123.62691
CI  gamma       542.000       122.94624
CI  gamma       543.000       122.26930
CI  gamma       544.000       121.59911
CI  gamma       545.000       120.93265
CI  gamma       546.000       120.27143
CI  gamma       547.000       119.61394
CI  gamma       548.000       118.96244
CI  gamma       549.000       118.31469
CI  gamma       550.000       117.67291
CI  gamma       551.000       117.03488
CI  gamma       552.000       116.40208
CI  gamma       553.000       115.77302
CI  gamma       554.000       115.14920
CI  gamma       555.000       114.52986
CI  gamma       556.000       113.91427
CI  gamma       557.000       113.30316
CI  gamma       558.000       112.69654
CI  gamma       559.000       112.09516
CI  gamma       560.000       111.49676
CI  gamma       561.000       110.90361
CI  gamma       562.000       110.31419
CI  gamma       563.000       109.72927
CI  gamma       564.000       109.14808
CI  gamma       565.000       108.57063
CI  gamma       566.000       107.99767
CI  gamma       567.000       107.42845
CI  gamma       568.000       106.86372
CI  gamma       569.000       106.30273
CI  gamma       570.000       105.74622
CI  gamma       571.000       105.19271
CI  gamma       572.000       104.64369
CI  gamma       573.000       104.09766
CI  gamma       574.000       103.55686
CI  gamma       575.000       103.01831
CI  gamma       576.000       102.48424
CI  gamma       577.000       101.95317
CI  gamma       578.000       101.42659
CI  gamma       579.000       100.90299
CI  gamma       580.000       100.38389
CI  gamma       581.000       99.867777
CI  gamma       582.000       99.355404
CI  gamma       583.000       98.845275
CI  gamma       584.000       98.339635
CI  gamma       585.000       97.837734
CI  gamma       586.000       97.339573
CI  gamma       587.000       96.844404
CI  gamma       588.000       96.352227
CI  gamma       589.000       95.863043
CI  gamma       590.000       95.377598
CI  gamma       591.000       94.895893
CI  gamma       592.000       94.417179
CI  gamma       593.000       93.941458
CI  gamma       594.000       93.468729
CI  gamma       595.000       92.999740
CI  gamma       596.000       92.532995
CI  gamma       597.000       92.069989
CI  gamma       598.000       91.609976
CI  gamma       599.000       91.153703
CI  gamma       600.000       90.699673
CI  gamma       601.000       90.248636
CI  gamma       602.000       89.800590
CI  gamma       603.000       89.355537
CI  gamma       604.000       88.914223
CI  gamma       605.000       88.475153
CI  gamma       606.000       88.039076
CI  gamma       607.000       87.605242
CI  gamma       608.000       87.174400
CI  gamma       609.000       86.746550
CI  gamma       610.000       86.321692
CI  gamma       611.000       85.899827
CI  gamma       612.000       85.480953
CI  gamma       613.000       85.064323
CI  gamma       614.000       84.650685
CI  gamma       615.000       84.238543
CI  gamma       616.000       83.830140
CI  gamma       617.000       83.423982
CI  gamma       618.000       83.020816
CI  gamma       619.000       82.619894
CI  gamma       620.000       82.221964
CI  gamma       621.000       81.826277
CI  gamma       622.000       81.433583
CI  gamma       623.000       81.042385
CI  gamma       624.000       80.654926
CI  gamma       625.000       80.268964
CI  gamma       626.000       79.885993
CI  gamma       627.000       79.505267
CI  gamma       628.000       79.126784
CI  gamma       629.000       78.751294
CI  gamma       630.000       78.377299
CI  gamma       631.000       78.006297
CI  gamma       632.000       77.637538
CI  gamma       633.000       77.271023
CI  gamma       634.000       76.906753
CI  gamma       635.000       76.544726
CI  gamma       636.000       76.185691
CI  gamma       637.000       75.828152
CI  gamma       638.000       75.472857
CI  gamma       639.000       75.119058
CI  gamma       640.000       74.768999
CI  gamma       641.000       74.420436
CI  gamma       642.000       74.074117
CI  gamma       643.000       73.729294
CI  gamma       644.000       73.387463
CI  gamma       645.000       73.047876
CI  gamma       646.000       72.709785
CI  gamma       647.000       72.373190
CI  gamma       648.000       72.039587
CI  gamma       649.000       71.708228
CI  gamma       650.000       71.379112
CI  gamma       651.000       71.050745
CI  gamma       652.000       70.725370
CI  gamma       653.000       70.401491
CI  gamma       654.000       70.079855
CI  gamma       655.000       69.759716
CI  gamma       656.000       69.441820
CI  gamma       657.000       69.126169
CI  gamma       658.000       68.812761
CI  gamma       659.000       68.500850
CI  gamma       660.000       68.190434
CI  gamma       661.000       67.881515
CI  gamma       662.000       67.574839
CI  gamma       663.000       67.270408
CI  gamma       664.000       66.968220
CI  gamma       665.000       66.666780
CI  gamma       666.000       66.368333
CI  gamma       667.000       66.069885
CI  gamma       668.000       65.775177
CI  gamma       669.000       65.480470
CI  gamma       670.000       65.188754
CI  gamma       671.000       64.898534
CI  gamma       672.000       64.609810
CI  gamma       673.000       64.322582
CI  gamma       674.000       64.036851
CI  gamma       675.000       63.754111
CI  gamma       676.000       63.472119
CI  gamma       677.000       63.192371
CI  gamma       678.000       62.913371
CI  gamma       679.000       62.636615
CI  gamma       680.000       62.360607
CI  gamma       681.000       62.086843
CI  gamma       682.000       61.815323
CI  gamma       683.000       61.544551
CI  gamma       684.000       61.276022
CI  gamma       685.000       61.008242
CI  gamma       686.000       60.742706
CI  gamma       687.000       60.477918
CI  gamma       688.000       60.215374
CI  gamma       689.000       59.954326
CI  gamma       690.000       59.694773
CI  gamma       691.000       59.435969
CI  gamma       692.000       59.179409
CI  gamma       693.000       58.924344
CI  gamma       694.000       58.670776
CI  gamma       695.000       58.417956
CI  gamma       696.000       58.166631
CI  gamma       697.000       57.917551
CI  gamma       698.000       57.669967
CI  gamma       699.000       57.423130
CI  gamma       700.000       57.177790
CI  gamma       701.000       56.933945
CI  gamma       702.000       56.691597
CI  gamma       703.000       56.449996
CI  gamma       704.000       56.210640
CI  gamma       705.000       55.972031
CI  gamma       706.000       55.735666
CI  gamma       707.000       55.499302
CI  gamma       708.000       55.265929
CI  gamma       709.000       55.032557
CI  gamma       710.000       54.800680
CI  gamma       711.000       54.570299
CI  gamma       712.000       54.340667
CI  gamma       713.000       54.113278
CI  gamma       714.000       53.886637
CI  gamma       715.000       53.661492
CI  gamma       716.000       53.437096
CI  gamma       717.000       53.214195
CI  gamma       718.000       52.992790
CI  gamma       719.000       52.772881
CI  gamma       720.000       52.553720
CI  gamma       721.000       52.336056
CI  gamma       722.000       52.118765
CI  gamma       723.000       51.902970
